empresa,cnpj
REAG - COMERCIO LTDA,02751259
REAG - SEGURANCA EMPRESARIAL S/C LTDA,03885623
REAG - GROWTH 95 FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,36671706
REAG - LINCOLN FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PIVADO.,36814213
REAG - LICHFIELD FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,36814344
REAG - XXX FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,36814589
REAG - OAKVILLE FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,36886167
REAG - VANCOUVER FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,36886425
REAG - SASKATOON FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,36896721
REAG - TORONTO FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,36896762
REAG - WINNIPEG FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PIVADO.,36896842
REAG - PLATAFORMA ELETRONICA DE INVESTIMENTOS ALTERNATIVOS LDA.,38027647
REAG - 03 PARTICIPACOES LTDA,38027773
REAG - COMERCIO REPRESENTACAO DE PROD HOSPITALARES LTDA,39129986
REAG - AGRO INVESTIMENTOS LTDA,39652794
REAG - DORTMUND FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,40067521
REAG - PALERMO FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,40067535
REAG - POMPEIA FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,40099899
REAG - WM LIQUIDEZ FUNDO DE INVESTIMENTO MULTIMERCADO,40597249
REAG - LOGISTICA & INDUSTRIAL FUNDO DE INVESTIMENTO IMOBILIARIO,40837664
REAG - LEGAL CLAIMS GESTAO DE ATIVOS LTDA,41019477
REAG - CASH FUNDO DE INVESTIMENTO MULTIMERCADO,41166962
REAG - TRUST ADMINISTRADORA DE RECURSOS LTDA,23863529
REAG - RIACHO PAR FUNDO DE INVESTIMENTO EM PARTICIPACOES,24193640
REAG - SISTEMATICO FUNDO DE INVESTIMENTO MULTIMERCADO,25044388
REAG - TOP INSTITUCIONAL II FUNDO DE INVESTIMENTO RENDA FIXA CREDITO PRIVADO,25318847
REAG - OLIMPIA FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,25333736
REAG - IV FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR,25333846
REAG - I - FUNDO DE INVESTIMENTO IMOBILIARIO - FII,26452016
REAG - II - FUNDO DE INVESTIMENTO IMOBILIARIO - FII,26452027
REAG - & COSTA GUERRA I FUNDO DE INVESTIMENTO IMOBILIARIO - FII,26452038
REAG - VI - FUNDO DE INVESTIMENTO IMOBILIARIO - FII,26452074
REAG - VII - FUNDO DE INVESTIMENTO IMOBILIARIO - FII,26452083
REAG - IX - FUNDO DE INVESTIMENTO IMOBILIARIO - FII,26452101
REAG - X - FUNDO DE INVESTIMENTO IMOBILIARIO - FII,26452121
REAG - XII FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR,26452192
REAG - XVI FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR,26452242
REAG - INFRA INDUSTRIAL FUNDO DE INVESTIMENTO EM PARTICIPACOES - EMPRESAS EERGENTES.,26648855
REAG - SEVILHA FUNDO DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATEGIA,27216627
REAG - 16 FIP - MULTIESTRATEGIA,27216734
REAG - 19 FUNDO DE INVESTIMENTO EM PARTICIPACOES FIP MULTIESTRATEGIA,27216898
REAG - VIII FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,32275217
REAG - 54 FUNDO DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATEGIA,32313859
REAG - MASTER FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,32313878
REAG - XXIII FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,33289511
REAG - XXIV FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,33289538
REAG - XXII FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,33289574
REAG - 69 FUNDO DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATEGIA,33304790
REAG - 68 FUNDO DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATEGIA,33304810
REAG - 60 FUNDO DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATEGIA,33521468
REAG - 70 FUNDO DE INVESTIMENTO EM PARTICIPACOES MLTIESTRATEGIA.,33554469
REAG - 72 FUNDO DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATEGIA,33554523
REAG - VI FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,33588312
REAG - XXVIII FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,33588370
REAG - XXXV FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,33632814
REAG - XLIII FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,33736830
REAG - QUANT BASE FUNDO DE INVESTIMENTO MULTIMERCADO,33736982
REAG - ALPHA FUNDO DE INVESTIMENTO FINANCEIRO EM ACOES,33736993
REAG - XXXIX FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,33737001
REAG - 75 FUNDO DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATEGIA,34218223
REAG - 76 FUNDO DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATEGIA,34218232
REAG - 77 FUNDO DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATEGIA,34218246
REAG - TRUST HOLDING FINANCEIRA LTDA,34308316
REAG - REPLANAGRO COMERCIAL LTDA,34378760
REAG - 79 FUNDO DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATEGIA,34525243
REAG - LIV FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,34547146
REAG - LIII FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,34547221
REAG - LII FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,34599150
REAG - XLI FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,34706401
REAG - XL FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,34706460
REAG - TRUST DISTRIBUIDORA DE TITULOS VALORES MOBILIARIOS S.A,34829992
REAG - BCS HOLDING FINANCEIRA LTDA,35067638
REAG - 83 FUNDO DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATEGIA,35686610
REAG - 85 FUNDO DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATEGIA,35686874
REAG - EDIMBURGO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,35740813
REAG - GASGLOW  FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,35740883
REAG - LEEDS  FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,35741193
REAG - OXFORD  FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,35741659
REAG - 88 FUNDO DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATEGIA,35744553
REAG - 91 FUNDO DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATEGIA,35780249
REAG - 92 FUNDO DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATEGIA,35780266
REAG - NOTTINGHAM FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,36244546
REAG - NORWICH FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,36259078
REAG - 30 FUNDO DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATEGIA,29253662
REAG - RECEBIVEIS REGIONAL FUNDO DE INVESTIMENTOS EM DIREITOS CREDITORIOS,30258937
REAG - 37 FUNDO DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATEGIA,30609511
REAG - 41 FUNDO DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATEGIA,30710079
REAG - II FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,32032756
REAG - MASTER FEEDER FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS,41776150 CREDITORIOS PADRONIZADO
REAG - RECEBIVEIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,41776322
REAG - EQUITIES GESTAO DE RECURSOS LTDA,42329349
REAG - VENTURE CAPITAL & GROWTH EQUITIES LTDA,43755691
REAG - GESTAO DE FUNDOS IMOBILIARIOS LDA.,43757787
REAG - RECEBIVEIS IMOBILIARIOS FUNDO DE INVESTIMENTO IMOBILIARIO,44728323
REAG - HIGH YIELD FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,45703173
REAG - ASSET CAPITAL PARTNERS S.A,46300563
REAG - JUS GESTAO DE ATIVOS JUDICIAIS LDA.,46356742
REAG - RENDA URBANA FUNDO DE INVESTIMENTO IMOBILIARIO,47142218
REAG - MULTI ESTRATEGIA FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,47142254
REAG - PAR LTDA. LIQUIDACAO,48061901
REAG - HOLDING DE SEGUROS S.A,48500229
REAG - AUCTION OPPORTUNITIES LTDA,48719489
REAG - SEG PARTICIPACOES S.A,48719718
REAG - SPECIAL SITUATIONS GESTAO DE RECURSOS LTDA,48890963
REAG - AMBIENTAL GESTAO DE RECURSOS LTDA,48892980
REAG - PORTFOLIO SOLUTIONS LTDA,48954141
REAG - AGRO GESTAO DE RECURSOS LTDA,49001178
