source,target,relationship_type
REAG - TRUST CONTROLADORIA DE ATIVOS LTDA,REAG TRUST PARTNERS LTDA,company_to_socio
REAG - TRUST CONTROLADORIA DE ATIVOS LTDA,RPN PARTNERS PARTICIPACOES LTDA,company_to_socio
REAG - TRUST CONTROLADORIA DE ATIVOS LTDA,MARCOS ANTONIO DA COSTA BAPTISTA,company_to_socio
REAG - TRUST CONTROLADORIA DE ATIVOS LTDA,MARCOS FERREIRA COSTA,company_to_socio
REAG - TRUST CONTROLADORIA DE ATIVOS LTDA,ARTHUR CAIXETA NOGUEIRA,company_to_socio
REAG - TRUST CONTROLADORIA DE ATIVOS LTDA,THIAGO SOUZA GRAMARI,company_to_socio
REAG - ORBIZ PARTICIPACOES LTDA,FABIO LEITE CESAR,company_to_socio
REAG - ORBIZ PARTICIPACOES LTDA,LEONARDO DE SOUZA CARVALHO,company_to_socio
REAG - ORBIZ PARTICIPACOES LTDA,SERGIO LUIZ PANICO,company_to_socio
REAG - ORBIZ PARTICIPACOES LTDA,REAG ECP PARTNERS LTDA,company_to_socio
REAG - ORBIZ PARTICIPACOES LTDA,DAVID TADEU PANICO,company_to_socio
REAG - ORBIZ PARTICIPACOES LTDA,LUIZ CLAUDIO MARQUES MENEZES,company_to_socio
REAG - ORBIZ PARTICIPACOES LTDA,RODRIGO ROMANO PRETOLA,company_to_socio
REAG - ORBIZ PARTICIPACOES LTDA,DANIEL FREDERICO PANICO,company_to_socio
REAG - ORBIZ PARTICIPACOES LTDA,FABIO BAPTISTA GARCIA,company_to_socio
REAG - ORBIZ PARTICIPACOES LTDA,CAIO MACCHIA,company_to_socio
REAG - ORBIZ PARTICIPACOES LTDA,LUANA RESENDE LADEIRA,company_to_socio
REAG - ORBIZ PARTICIPACOES LTDA,MARCIO RYOITI SUZUKI,company_to_socio
REAG - ORBIZ PARTICIPACOES LTDA,MATHEUS ALBUQUERQUE DOURADO,company_to_socio
REAG - ORBIZ PARTICIPACOES LTDA,MAURO PEREIRA BUENO MEINBERG,company_to_socio
REAG - ORBIZ PARTICIPACOES LTDA,FELIPE BERGMANN DA SILVA,company_to_socio
REAG - 76 PARTICIPACOES LTDA,MARIA CANDIDA DE CAMPOS VERGANI BULHOES,company_to_socio
REAG - 76 PARTICIPACOES LTDA,I9 SERVICOS ADMINISTRATIVOS LTDA.,company_to_socio
REAG - SERVICOS DE DESENHO TECNICO LTDA,RENAN ROSSETTI CORBINI,company_to_socio
REAG - SERVICOS DE DESENHO TECNICO LTDA,AGENOR CORBINI,company_to_socio
REAG - SPECIALTY FINANCE LTDA,QUASAR HOLDING LTDA.,company_to_socio
REAG - SPECIALTY FINANCE LTDA,DARIO GRAZIATO TANURE,company_to_socio
REAG - SPECIALTY FINANCE LTDA,REAG TRUST PARTNERS LTDA,company_to_socio
REAG - SPECIALTY FINANCE LTDA,FABIANA FRANCO,company_to_socio
REAG - SPECIALTY FINANCE LTDA,JOSE EDUARDO DE ASSUNCAO,company_to_socio
REAG - SPECIALTY FINANCE LTDA,LEONARDO RUSSO CALIXTO,company_to_socio
REAG - SPECIALTY FINANCE LTDA,AQUILES FELDMAN,company_to_socio
REAG - SPECIALTY FINANCE LTDA,MARCOS ANTONIO DA COSTA BAPTISTA,company_to_socio
REAG - BCS PARTICIPACOES S.A,ANTONIO JOSE SANTOS GUIMARAES,company_to_socio
REAG - BCS PARTICIPACOES S.A,LEONARDO DE SOUZA CARVALHO,company_to_socio
REAG - 67 PARTICIPACOES LTDA,MARIA CANDIDA DE CAMPOS VERGANI BULHOES,company_to_socio
REAG - 67 PARTICIPACOES LTDA,I9 SERVICOS ADMINISTRATIVOS LTDA.,company_to_socio
REAG - HOLDING DE SEGUROS S.A,ANTONIO JOSE SANTOS GUIMARAES,company_to_socio
REAG - HOLDING DE SEGUROS S.A,JOAO CARLOS FALBO MANSUR,company_to_socio
REAG - HOLDING DE SEGUROS S.A,ANTONIO AUGUSTO GUERREIRO ARAGAO DE VILLAR,company_to_socio
REAG - HOLDING DE SEGUROS S.A,LUIZ AUGUSTO ARAGAO DE VILLAR FILHO,company_to_socio
REAG - SEG PARTICIPACOES S.A,ANTONIO JOSE SANTOS GUIMARAES,company_to_socio
REAG - SEG PARTICIPACOES S.A,JOAO CARLOS FALBO MANSUR,company_to_socio
REAG - SEG PARTICIPACOES S.A,ANTONIO AUGUSTO GUERREIRO ARAGAO DE VILLAR,company_to_socio
REAG - SEG PARTICIPACOES S.A,LUIZ AUGUSTO ARAGAO DE VILLAR FILHO,company_to_socio
REAG - SPECIAL SITUATIONS GESTAO DE RECURSOS LTDA,REAG ASSET MANAGEMENT S.A.,company_to_socio
REAG - SPECIAL SITUATIONS GESTAO DE RECURSOS LTDA,REAG TRUST PARTNERS LTDA,company_to_socio
REAG - SPECIAL SITUATIONS GESTAO DE RECURSOS LTDA,CARLOS ALBERTO HEITOR DE FARIAS MAGGIOLI FILHO,company_to_socio
REAG - SPECIAL SITUATIONS GESTAO DE RECURSOS LTDA,JOSE EDUARDO DE ASSUNCAO,company_to_socio
REAG - SPECIAL SITUATIONS GESTAO DE RECURSOS LTDA,AQUILES FELDMAN,company_to_socio
REAG - SPECIAL SITUATIONS GESTAO DE RECURSOS LTDA,MARCOS ANTONIO DA COSTA BAPTISTA,company_to_socio
REAG - SPECIAL SITUATIONS GESTAO DE RECURSOS LTDA,FABIANA FRANCO,company_to_socio
REAG - SPECIAL SITUATIONS GESTAO DE RECURSOS LTDA,DARIO GRAZIATO TANURE,company_to_socio
REAG - WEALTH MANAGEMENT S.A,JOAO CARLOS FALBO MANSUR,company_to_socio
REAG - WEALTH MANAGEMENT S.A,SILVANO GERSZTEL,company_to_socio
REAG - WEALTH MANAGEMENT S.A,ANDRE LUIS DE OLIVEIRA AGOSTINHO,company_to_socio
REAG - WEALTH MANAGEMENT S.A,LEONARDO FALBO DONATO,company_to_socio
REAG - WEALTH MANAGEMENT S.A,LEONARDO DE SOUZA CARVALHO,company_to_socio
REAG - 57 PARTICIPACOES LTDA,ANTONIO JOSE SANTOS GUIMARAES,company_to_socio
REAG - 57 PARTICIPACOES LTDA,I9 SERVICOS ADMINISTRATIVOS LTDA.,company_to_socio
REAG - FARMACIA LTDA,GERSON CARLOS GOMES,company_to_socio
REAG - FARMACIA LTDA,MARIA LUCIA DA SILVA GOMES,company_to_socio
REAG - 38 PARTICIPACOES LTDA,ANTONIO JOSE SANTOS GUIMARAES,company_to_socio
REAG - 38 PARTICIPACOES LTDA,I9 SERVICOS ADMINISTRATIVOS LTDA.,company_to_socio
REAG - BERKANA INVESTIMENTOS LTDA,LUIZ CARLOS MOREIRA LIMA,company_to_socio
REAG - BERKANA INVESTIMENTOS LTDA,REAG WM GESTORA DE PATRIMONIO LTDA,company_to_socio
REAG - BERKANA INVESTIMENTOS LTDA,REAG TRUST PARTNERS LTDA,company_to_socio
REAG - BERKANA INVESTIMENTOS LTDA,AQUILES FELDMAN,company_to_socio
REAG - BERKANA INVESTIMENTOS LTDA,JOSE EDUARDO DE ASSUNCAO,company_to_socio
REAG - BERKANA INVESTIMENTOS LTDA,MARCOS ANTONIO DA COSTA BAPTISTA,company_to_socio
REAG - BERKANA INVESTIMENTOS LTDA,FABIANA FRANCO,company_to_socio
REAG - BERKANA INVESTIMENTOS LTDA,DARIO GRAZIATO TANURE,company_to_socio
REAG - 03 PARTICIPACOES LTDA,ANTONIO JOSE SANTOS GUIMARAES,company_to_socio
REAG - 03 PARTICIPACOES LTDA,I9 SERVICOS ADMINISTRATIVOS LTDA.,company_to_socio
REAG - LEGAL CLAIMS GESTAO DE ATIVOS LTDA,REAG ASSET MANAGEMENT S.A.,company_to_socio
REAG - LEGAL CLAIMS GESTAO DE ATIVOS LTDA,REAG TRUST PARTNERS LTDA,company_to_socio
REAG - LEGAL CLAIMS GESTAO DE ATIVOS LTDA,DARIO GRAZIATO TANURE,company_to_socio
REAG - LEGAL CLAIMS GESTAO DE ATIVOS LTDA,CARLOS ALBERTO HEITOR DE FARIAS MAGGIOLI FILHO,company_to_socio
REAG - LEGAL CLAIMS GESTAO DE ATIVOS LTDA,JOSE EDUARDO DE ASSUNCAO,company_to_socio
REAG - LEGAL CLAIMS GESTAO DE ATIVOS LTDA,AQUILES FELDMAN,company_to_socio
REAG - LEGAL CLAIMS GESTAO DE ATIVOS LTDA,MARCOS ANTONIO DA COSTA BAPTISTA,company_to_socio
